title,year,rating,genre,language
Taare Zameen Par,2007,8.4,"Drama, Family",Hindi
Gully Boy,2019,8.0,"Drama, Musical",Hindi
Gully Boy,2019,8.0,"Drama, Musical",Hindi
Shershaah,2021,8.2,"Biography, War",Hindi
3 Idiots,2009,8.4,"Comedy, Drama",Hindi
Dangal,2016,8.4,"Biography, Drama",Hindi
Taare Zameen Par,2007,8.4,"Drama, Family",Hindi
Barfi!,2012,8.1,"Romance, Comedy",Hindi
Taare Zameen Par,2007,8.4,"Drama, Family",Hindi
Taare Zameen Par,2007,8.4,"Drama, Family",Hindi
Dangal,2016,8.4,"Biography, Drama",Hindi
Taare Zameen Par,2007,8.4,"Drama, Family",Hindi
Lagaan,2001,8.1,"Sports, Drama",Hindi
Dangal,2016,8.4,"Biography, Drama",Hindi
Barfi!,2012,8.1,"Romance, Comedy",Hindi
Barfi!,2012,8.1,"Romance, Comedy",Hindi
Lagaan,2001,8.1,"Sports, Drama",Hindi
Shershaah,2021,8.2,"Biography, War",Hindi
PK,2014,8.2,"Comedy, Drama, Sci-Fi",Hindi
Dangal,2016,8.4,"Biography, Drama",Hindi
Soorarai Pottru,2020,8.7,Drama,Tamil
Kaithi,2019,8.4,"Action, Thriller",Tamil
Master,2021,7.9,"Action, Thriller",Tamil
Soorarai Pottru,2020,8.7,Drama,Tamil
Kaithi,2019,8.4,"Action, Thriller",Tamil
Kaithi,2019,8.4,"Action, Thriller",Tamil
Master,2021,7.9,"Action, Thriller",Tamil
Asuran,2019,8.5,"Action, Drama",Tamil
Vikram Vedha,2017,8.3,"Action, Crime, Thriller",Tamil
Vikram Vedha,2017,8.3,"Action, Crime, Thriller",Tamil
Soorarai Pottru,2020,8.7,Drama,Tamil
Soorarai Pottru,2020,8.7,Drama,Tamil
Master,2021,7.9,"Action, Thriller",Tamil
Asuran,2019,8.5,"Action, Drama",Tamil
Soorarai Pottru,2020,8.7,Drama,Tamil
Kaithi,2019,8.4,"Action, Thriller",Tamil
Master,2021,7.9,"Action, Thriller",Tamil
Soorarai Pottru,2020,8.7,Drama,Tamil
Asuran,2019,8.5,"Action, Drama",Tamil
Asuran,2019,8.5,"Action, Drama",Tamil
Baahubali: The Beginning,2015,8.0,"Action, Drama",Telugu
Jersey,2019,8.6,"Drama, Sport",Telugu
Arjun Reddy,2017,8.1,"Romance, Drama",Telugu
Pushpa: The Rise,2021,7.9,"Action, Thriller",Telugu
Arjun Reddy,2017,8.1,"Romance, Drama",Telugu
Jersey,2019,8.6,"Drama, Sport",Telugu
Baahubali: The Beginning,2015,8.0,"Action, Drama",Telugu
Baahubali: The Beginning,2015,8.0,"Action, Drama",Telugu
Jersey,2019,8.6,"Drama, Sport",Telugu
Baahubali 2: The Conclusion,2017,8.2,"Action, Drama",Telugu
Baahubali: The Beginning,2015,8.0,"Action, Drama",Telugu
Arjun Reddy,2017,8.1,"Romance, Drama",Telugu
Jersey,2019,8.6,"Drama, Sport",Telugu
Baahubali: The Beginning,2015,8.0,"Action, Drama",Telugu
Jersey,2019,8.6,"Drama, Sport",Telugu
Baahubali 2: The Conclusion,2017,8.2,"Action, Drama",Telugu
Baahubali 2: The Conclusion,2017,8.2,"Action, Drama",Telugu
Baahubali: The Beginning,2015,8.0,"Action, Drama",Telugu
Jersey,2019,8.6,"Drama, Sport",Telugu
Arjun Reddy,2017,8.1,"Romance, Drama",Telugu
Bangalore Days,2014,8.3,"Drama, Romance",Malayalam
Uyare,2019,8.0,Drama,Malayalam
Premam,2015,8.3,"Romance, Drama",Malayalam
Uyare,2019,8.0,Drama,Malayalam
Drishyam,2013,8.3,"Drama, Thriller",Malayalam
Bangalore Days,2014,8.3,"Drama, Romance",Malayalam
Bangalore Days,2014,8.3,"Drama, Romance",Malayalam
Kumbalangi Nights,2019,8.6,Drama,Malayalam
Uyare,2019,8.0,Drama,Malayalam
Premam,2015,8.3,"Romance, Drama",Malayalam
Kumbalangi Nights,2019,8.6,Drama,Malayalam
Uyare,2019,8.0,Drama,Malayalam
Kumbalangi Nights,2019,8.6,Drama,Malayalam
Premam,2015,8.3,"Romance, Drama",Malayalam
Drishyam,2013,8.3,"Drama, Thriller",Malayalam
Bangalore Days,2014,8.3,"Drama, Romance",Malayalam
Premam,2015,8.3,"Romance, Drama",Malayalam
Bangalore Days,2014,8.3,"Drama, Romance",Malayalam
Premam,2015,8.3,"Romance, Drama",Malayalam
Drishyam,2013,8.3,"Drama, Thriller",Malayalam
Lucia,2013,8.3,"Drama, Sci-Fi",Kannada
Dia,2020,8.1,"Romance, Drama",Kannada
Lucia,2013,8.3,"Drama, Sci-Fi",Kannada
Lucia,2013,8.3,"Drama, Sci-Fi",Kannada
Lucia,2013,8.3,"Drama, Sci-Fi",Kannada
Dia,2020,8.1,"Romance, Drama",Kannada
KGF Chapter 2,2022,8.4,"Action, Drama",Kannada
Ugramm,2014,8.2,"Action, Drama",Kannada
KGF Chapter 2,2022,8.4,"Action, Drama",Kannada
Dia,2020,8.1,"Romance, Drama",Kannada
KGF Chapter 1,2018,8.2,"Action, Drama",Kannada
Lucia,2013,8.3,"Drama, Sci-Fi",Kannada
Dia,2020,8.1,"Romance, Drama",Kannada
KGF Chapter 2,2022,8.4,"Action, Drama",Kannada
KGF Chapter 2,2022,8.4,"Action, Drama",Kannada
KGF Chapter 2,2022,8.4,"Action, Drama",Kannada
Lucia,2013,8.3,"Drama, Sci-Fi",Kannada
Dia,2020,8.1,"Romance, Drama",Kannada
Lucia,2013,8.3,"Drama, Sci-Fi",Kannada
Dia,2020,8.1,"Romance, Drama",Kannada
